hash,pluginkey,shortname,longname
AO_06D57D,com.wittified.jira.agile-board-template-builder,agileboard,Agile Board Template Builder for JIRA
AO_E30806,com.wittified.jira.delegated-admin,delegatepm,Delegated Project Admin Pro for JIRA
AO_275653,com.wittified.jira.project-creator,delegatecreate,Delegated Project Creator for JIRA
AO_ADD55C,com.wittified.jira.project-creator-jira-agile,delegatecreate,Delegated Project Creator for JIRA Agile
AO_C72C89,com.wittified.jsd.callcenter,jsdcallcenter,",CallCenter for JIRA Service Desk"
AO_632F8B,com.wittified.webfragment-finder,fragfinder,Web Fragment Finder for JIRA
AO_8BA09E,com.xiplink.jira.git.jira_git_plugin,xiplinkgit,Git Integration for Jira
AO_3C6513,com.xpandit.plugins.jiraxporter,xporter,Xporter
AO_8B1069,com.xpandit.plugins.xray,xray,Xray
AO_CC493F,com.zagile.salesforce.ZSalesforceJIRA,zsalesforce,ZSalesforceJIRA
AO_882244,csfj-1,calsync,Calendar Sync for JIRA
AO_2D44A0,de.acocon.jira.otrs.otrs-gadget-plugin,otrs,PrOps
AO_4223CC,de.catworkx.jira.plugins.cwx-issue-picker,teamworkx,Teamworkx Issue Picker for Jira
AO_4FFCB7,de.catworkx.jira.plugins.issue-publisher,teamworkx,Teamworkx Issue Publisher for Jira
AO_C3EFFD,de.catworkx.jira.plugins.otrs_integration,teamworkx,Teamworkx OTRS Integration for Jira
AO_4D8B31,de.catworkx.jira.plugins.push_pull_favorites,pushpullfavorites,catworkx Push and Pull Favorites
AO_1BD964,de.codecentric.jira.wes,wfessentials,Workflow Essentials for Jira
AO_7A4E8B,de.codecentric.prevent-anonymous-access,noanon,prevent-anonymous-access
AO_B5E1D5,de.communardo.atlassian.plugins.cute,cute,CUTE
AO_3EFB4D,de.communardo.jira.plugins.remindme,remindme,RemindMe
AO_2C3287,de.communardo.jira.plugins.userprofile,userprofiles,User Profiles for JIRA
AO_9B23C2,de.iconcept.ictime.jira-ictime,ictime,"icTime - time tracking, reporting, accounting"
AO_9FD13B,de.ilmcon.jira.protokolle,agileminutes,AgileMinutes
AO_EE3AEC,de.kontextwork.goedit.jira,goedit,GoEdit for Jira
AO_7AF017,de.materna.jira.plugins.maillogger,maillogger,M.maillogger
AO_515FC4,de.mguenter.jira-sito,sito,Sync Issue To Outlook - SITO
AO_A709F6,de.stagil.jira.create-and-link,createandlink,STAGIL Create and Link for JIRA
AO_28DB39,de.stagil.jira.stagil-assets,advancedlinks,STAGIL Assets - Advanced Links
